,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_2_cur_maneuver,UAV_2_tasks_counter
0,0,4,0,None,0,None,0,None,0,None,0
8,0,4,0,None,0,None,0,None,0,None,0
22,0,4,0,None,0,None,0,None,0,None,0
35,0,4,0,None,0,None,0,None,0,None,0
46,1,4,0,None,0,None,0,None,0,None,0
50,1,4,0,None,0,None,0,None,0,assessment,0
63,1,4,0,None,0,None,0,None,0,assessment,0
76,1,4,0,None,0,None,0,None,0,assessment,0
89,1,4,0,None,0,None,0,None,0,assessment,0
101,1,4,0,None,0,None,0,None,0,assessment,0
114,1,4,0,None,0,None,0,None,0,assessment,0
126,1,4,0,None,0,None,0,None,0,assessment,0
134,1,4,0,None,0,None,0,None,0,assessment,0
135,2,4,0,None,0,None,0,None,0,None,0
138,2,4,0,None,0,None,0,assessment,0,None,0
140,2,4,0,None,0,approach,0,assessment,0,None,0
155,2,4,0,None,0,approach,0,assessment,0,None,0
167,2,4,0,None,0,approach,0,assessment,0,None,0
181,2,4,0,None,0,approach,0,assessment,0,None,0
195,2,4,0,None,0,approach,0,assessment,0,None,0
208,2,4,0,None,0,approach,0,assessment,0,None,0
213,2,4,0,None,0,None,0,assessment,0,None,0
214,2,4,0,None,0,None,1,assessment,0,None,0
220,2,4,0,None,0,None,1,assessment,0,approach,0
235,2,4,0,None,0,None,1,assessment,0,approach,0
249,2,4,0,None,0,None,1,assessment,0,approach,0
258,2,4,0,None,0,None,1,assessment,0,None,0
259,1,4,0,None,0,None,1,assessment,0,None,1
260,2,4,0,None,0,None,1,assessment,0,None,1
265,2,4,0,None,0,None,1,assessment,0,approach,1
278,2,4,0,None,0,None,1,assessment,0,approach,1
285,2,4,0,None,0,None,1,assessment,0,approach,1
290,3,4,0,None,0,approach,1,assessment,0,approach,1
304,3,4,0,None,0,approach,1,assessment,0,approach,1
316,3,4,0,None,0,approach,1,assessment,0,approach,1
317,3,4,0,None,0,approach,1,assessment,0,None,1
319,3,4,0,None,0,approach,1,assessment,0,None,2
324,3,4,0,None,0,approach,1,assessment,0,approach,2
333,3,4,0,None,0,approach,1,assessment,0,approach,2
347,3,4,0,None,0,approach,1,assessment,0,approach,2
358,3,4,0,None,0,approach,1,assessment,0,approach,2
362,2,4,0,None,0,None,2,assessment,0,approach,2
363,3,4,0,None,0,None,2,assessment,0,approach,2
367,3,4,0,None,0,approach,2,assessment,0,approach,2
375,3,4,0,None,0,approach,2,assessment,0,None,2
376,2,4,0,None,0,approach,2,assessment,0,None,3
377,3,4,0,None,0,approach,2,assessment,0,None,3
384,3,4,0,exploration,0,approach,2,assessment,0,None,3
399,3,4,0,exploration,0,approach,2,assessment,0,None,3
412,3,4,0,exploration,0,approach,2,assessment,0,None,3
425,3,4,0,exploration,0,approach,2,assessment,0,None,3
427,3,4,0,exploration,0,approach,2,None,1,None,3
430,3,4,0,exploration,0,approach,2,None,1,assessment,3
442,3,4,0,exploration,0,None,2,None,1,assessment,3
445,3,4,1,exploration,0,teleoperation,2,None,1,assessment,3
456,3,4,1,exploration,0,None,2,None,1,assessment,3
460,3,4,1,exploration,0,approach,2,None,1,assessment,3
469,3,4,1,exploration,0,approach,2,None,1,assessment,3
470,3,4,1,None,0,approach,2,None,1,assessment,3
471,3,4,2,teleoperation,0,approach,2,None,1,assessment,3
476,3,4,2,teleoperation,0,None,2,None,1,assessment,3
478,3,4,3,teleoperation,0,teleoperation,2,None,1,assessment,3
480,3,4,3,None,0,teleoperation,2,None,1,assessment,3
482,3,4,3,None,0,teleoperation,2,None,1,assessment,3
485,3,4,3,exploration,0,teleoperation,2,None,1,assessment,3
487,3,4,3,exploration,0,None,2,None,1,assessment,3
488,3,4,3,exploration,0,None,2,None,1,assessment,3
491,3,4,3,exploration,0,approach,2,None,1,assessment,3
499,3,4,3,exploration,0,approach,2,None,1,assessment,3
506,3,4,3,exploration,0,None,2,None,1,assessment,3
507,3,4,3,exploration,0,None,3,None,1,assessment,3
510,3,4,3,exploration,0,approach,3,None,1,assessment,3
517,3,4,3,exploration,0,approach,3,None,1,assessment,3
526,3,4,3,exploration,0,approach,3,None,1,assessment,3
535,3,4,3,exploration,0,approach,3,None,1,assessment,3
544,3,4,3,exploration,0,approach,3,None,1,assessment,3
552,3,4,3,exploration,0,approach,3,None,1,assessment,3
554,3,4,3,exploration,0,approach,3,None,1,None,3
555,3,4,3,exploration,0,approach,3,None,1,None,4
558,3,4,3,exploration,0,approach,3,None,1,assessment,4
566,3,4,3,exploration,0,approach,3,None,1,assessment,4
575,3,4,3,exploration,0,approach,3,None,1,assessment,4
588,3,4,3,exploration,0,approach,3,None,1,assessment,4
600,3,4,3,exploration,0,approach,3,None,1,assessment,4
613,3,4,3,exploration,0,approach,3,None,1,assessment,4
627,3,4,3,exploration,0,approach,3,None,1,assessment,4
639,3,4,3,exploration,0,approach,3,None,1,assessment,4
652,3,4,3,exploration,0,approach,3,None,1,assessment,4
666,3,4,3,exploration,0,approach,3,None,1,assessment,4
677,3,4,3,exploration,0,approach,3,None,1,assessment,4
689,3,4,3,exploration,0,approach,3,None,1,assessment,4
700,3,4,3,exploration,0,approach,3,None,1,assessment,4
711,3,4,3,exploration,0,approach,3,None,1,assessment,4
722,3,4,3,exploration,0,approach,3,None,1,assessment,4
735,3,4,3,exploration,0,approach,3,None,1,assessment,4
745,3,4,3,exploration,0,approach,3,None,1,assessment,4
747,3,4,3,exploration,0,approach,3,None,1,None,4
751,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
763,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
777,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
791,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
804,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
817,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
829,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
840,3,4,4,exploration,0,approach,3,None,1,teleoperation,4
853,2,4,4,exploration,0,None,4,None,1,teleoperation,4
854,2,4,4,exploration,0,None,4,None,1,teleoperation,4
858,3,4,4,exploration,0,None,4,approach,1,teleoperation,4
870,3,3,4,exploration,0,None,4,approach,1,None,4
871,3,3,4,exploration,0,None,4,None,1,None,4
875,3,3,4,exploration,0,approach,4,None,1,None,4
876,3,3,4,exploration,0,approach,4,assessment,1,None,4
890,3,3,4,exploration,0,approach,4,assessment,1,None,4
902,3,3,4,exploration,0,approach,4,assessment,1,None,4
914,3,3,4,exploration,0,approach,4,assessment,1,None,4
917,3,3,4,exploration,0,None,4,assessment,1,None,4
921,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
931,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
938,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
947,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
955,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
962,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
969,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
978,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
985,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
993,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1001,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1008,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1014,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1025,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1036,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1048,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1061,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1075,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1087,3,3,4,exploration,0,surroundings verification,4,assessment,1,None,4
1093,3,3,4,exploration,0,surroundings verification,4,None,1,None,4
1094,3,3,4,exploration,0,surroundings verification,4,None,2,None,4
1098,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1113,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1128,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1140,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1154,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1167,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1174,3,3,4,exploration,0,surroundings verification,4,assessment,2,None,4
1186,2,3,4,exploration,0,surroundings verification,4,None,3,None,4
1198,2,3,4,exploration,0,surroundings verification,4,None,3,None,4
1212,2,3,4,exploration,0,surroundings verification,4,None,3,None,4
1215,2,3,4,None,0,surroundings verification,4,None,3,None,4
1217,2,3,5,teleoperation,0,surroundings verification,4,None,3,None,4
1229,2,3,5,teleoperation,0,surroundings verification,4,None,3,None,4
1230,2,3,5,None,0,surroundings verification,4,None,3,None,4
1243,2,3,5,None,0,surroundings verification,4,None,3,None,4
1257,2,3,5,None,0,surroundings verification,4,None,3,None,4
1271,2,3,5,None,0,surroundings verification,4,None,3,None,4
1286,2,3,5,None,0,surroundings verification,4,None,3,None,4
1300,2,3,5,None,0,surroundings verification,4,None,3,None,4
1314,2,3,5,None,0,surroundings verification,4,None,3,None,4
1326,2,3,5,None,0,surroundings verification,4,None,3,None,4
1339,2,3,5,None,0,surroundings verification,4,None,3,None,4
1341,2,3,5,None,0,surroundings verification,4,None,3,None,4
